Продукция;Наименование материала;Необходимое количество материала
63;24;20
71;6;1
37;6;4
58;24;18
94;6;3
1;24;9
2;23;15
63;25;3
2;39;12
19;25;20
94;42;4
47;33;4
52;39;12
28;25;8
1;25;4
59;42;3
57;42;4
67;42;6
70;2;1
70;8;1
79;38;15
44;13;3
52;27;6
2;40;15
66;13;1
18;13;6
10;2;16
92;38;19
33;21;5
67;27;6
96;27;14
16;40;8
99;2;3
34;40;6
99;36;2
55;14;9
76;13;10
90;40;15
47;40;14
41;13;3
68;8;2
19;21;4
24;14;11
33;10;4
16;22;15
64;16;1
70;16;16
92;16;11
78;16;1
94;18;20
10;18;18
40;18;18
72;18;6
47;18;3
2;46;11
